SubjectID,DNCondition,DNStatus,AgeDays,AgeYears,DNStatus.x,DNCondition.x,Child.Ditty.x,TotCorr.x,DNStatus.y,DNCondition.y,Child.Ditty.y,TotCorr.y
162,WITHIN,Okay,1472,3.75,OKAY,WITHIN,NA,10,NA,NA,NA,NA
163,BETWEEN,Okay,1125,3.08,OKAY,BETWEEN,NA,8,NA,NA,NA,NA
164,BETWEEN,Okay,1259,3.45,OKAY,BETWEEN,NA,15,NA,NA,NA,NA
165,WITHIN,Okay,1107,3.03,OKAY,WITHIN,NA,1,NA,NA,NA,NA
166,WITHIN,Okay,1265,3.46,OKAY,WITHIN,NA,4,NA,NA,NA,NA
167,WITHIN,Okay,1231,3.37,OKAY,WITHIN,NA,15,NA,NA,NA,NA
170,WITHIN,Okay,1523,4.17,OKAY,WITHIN,NA,15,NA,NA,NA,NA
171,BETWEEN,Okay,1536,4.2,OKAY,BETWEEN,NA,8,NA,NA,NA,NA
172,BETWEEN,Okay,1135,3.1,OKAY,BETWEEN,NA,15,NA,NA,NA,NA
175,BETWEEN,Okay,1213,3.32,OKAY,BETWEEN,NA,13,NA,NA,NA,NA
176,WITHIN,Okay,1499,4.1,OKAY,WITHIN,NA,15,NA,NA,NA,NA
178,WITHIN,Okay,1526,4.18,OKAY,WITHIN,NA,14,NA,NA,NA,NA
179,BETWEEN,Okay,1630,4.46,OKAY,BETWEEN,NA,14,NA,NA,NA,NA
180,BETWEEN,Okay,1548,4.24,OKAY,BETWEEN,NA,15,NA,NA,NA,NA
184,WITHIN,Okay,1666,4.56,OKAY,WITHIN,NA,16,NA,NA,NA,NA
185,BETWEEN,Okay,1642,4.5,OKAY,BETWEEN,NA,12,NA,NA,NA,NA
188,BETWEEN,Okay,1733,4.75,OKAY,BETWEEN,NA,9,NA,NA,NA,NA
189,WITHIN,Okay,1128,3.09,OKAY,WITHIN,NA,11,NA,NA,NA,NA
191,BETWEEN,Okay,1152,3.15,OKAY,BETWEEN,NA,3,NA,NA,NA,NA
199,WITHIN,Okay,1210,3.31,OKAY,WITHIN,NA,14,NA,NA,NA,NA
200,BETWEEN,*PossibleDrop,1241,3.4,OKAY,BETWEEN,NA,8,NA,NA,NA,NA
202,WITHIN,Okay,1606,4.4,OKAY,WITHIN,NA,15,NA,NA,NA,NA
203,BETWEEN,Okay,1134,3.1,OKAY,BETWEEN,NA,12,NA,NA,NA,NA
204,WITHIN,Okay,1186,3.25,OKAY,WITHIN,NA,0,NA,NA,NA,NA
208,WITHIN,Okay,1383,3.79,OKAY,WITHIN,NA,16,NA,NA,NA,NA
210,BETWEEN,Okay,1499,4.1,OKAY,BETWEEN,NA,15,NA,NA,NA,NA
211,BETWEEN,Okay,1496,4.1,OKAY,BETWEEN,NA,13,NA,NA,NA,NA
212,WITHIN,Okay,1630,4.46,OKAY,WITHIN,NA,13,NA,NA,NA,NA
